Entity_VI,Entity_EN
không khí thiền,Zen atmosphere
áo khoác bespoke,bespoke jacket
xế xe buýt,bus driver
ly cocktail,ly cocktail
mây homestay,rattan homestay
vest,vest
tour riêng,private tour
chuyến đi tây bắc,northwest trip
nhỏ ruộng,small field
thung lũng,Valley
tượng nhà sư,monk statue
rừng rậm,Forest
tour train,tour train
hàng giày da,leather shoes
hướng dẫn viên lâm,forestry tour guide
ngóc,corner
mồ hôi,sweat
bảo hiểm,insurance
hang be,hang be
bít tết,steak
tài sản,asset
hành trình xuyên,cross journey
sữa lắc,milk shake
thiết bị tập thể dục,exercise equipment
món tráng,dessert
giấc mơ,dream
thợ may cá nhân,personal tailor
tượng phật hoa,flower Buddha statue
cửa hàng gia đình,family store
trả xe đạp,return the bike
phối viên du lịch,travel coordinator
thợ may bé,little tailor
phước lành,blessing
trung tâm công viên,park center
liệu pháp,therapy
dân làng,villager
bảo quản,preserve
tiền mặt,cash
đường phố,street
vị thần,Gods
tầm nhìn,vision
lịch sử gia đình,family history
hàng spa,spa goods
chợ nhỏ,small market
trang trại truyền,transmission farm
mỹ sơn,My Son
khu rừng mùa thu,autumn forest
kỳ nghỉ gia đình,family vacation
ga xe lửa,train station
bữa trưa đĩa,plate lunch
đồ sơn,Do Son
món cocktail,cocktail
khu vườn ẩm thực,culinary garden
công ty du lịch,travel agency
hợp đồng,contract
tràng an hoa lư,Trang An Hoa Lu
cảnh vịnh hạ,lower bay scene
nông thôn,countryside
cột gỗ,wooden pillars
thuyền trưởng,captain
bánh mì kẹp thịt,hamburgers
bức ảnh,photo
làng ta,our village
chuyến thăm hcm,visit to HCMC
thợ chạm,graver
địa điểm lịch sử,historical place
món ăn địa phương,local food
chuyến đi sa pa,Sapa trip
mũi,nose
lễ trao giải,award ceremony
bữa trưa,lunch
thực phẩm,food
xe tay,handcart
ngôi làng đạo,religious village
khủng long,dinosaur
đĩa,plate
phong cách văn hóa,cultural style
bảo tồn chim bằng lăng,conservation of lager birds
hang thông,pine cave
vest áo sơ mi,shirt vest
bảo tàng nhà,house museum
đến vịnh,to the bay
lịch sử,history
môi trường,environment
áp suất,Pressure
hưởng viên ngọc,enjoy the pearl
chuyến thăm làng,village visit
con chó,dog
bộ đồ ba,third suit
ba lô,backpack
chuyến tham quan đồi,hill tour
tầm,range
con mèo,cat
lễ phục,vestments
đường sá,streets
trường học,school
thị trấn sa pa,Sapa town
chuyến du lịch -,tour -
hoa lư,flower burner
con sông,River
tắm nắng,bask
hướng dẫn viên vũ,dance instructor
hàng lưu niệm,souvenirs
ông,grandfather
món tráng miệng,desserts
bao,bao
thức ăn phong,maple food
cây,tree
lịch sử tình,love history
ván sàn tầng,floorboards
công viên quốc gia,National Park
trải nghiệm hành trình,experience the journey
tác phẩm chạm,carved work
bản tả,description
may bộ đồ,sew a suit
dạy lướt,teach surfing
điểm đến ẩm thực,culinary destination
tour du lịch,tour
ruộng lúa,rice field
quà tặng,present
đồ thêu thủ công,handmade embroidery
lịch sử văn hóa - thiên nhiên,cultural and natural history
phong cách,style
đồ ăn đổ,spilled food
điểm đến,destination
đất liền,land
du lịch ẩm thực,Culinary tourism
phòng khánh,stateroom
hôn phu,Husband
viên ngọc ẩn,hidden gem
váy tay,sleeveless dress
trình massage,massage program
bữa tối,dinner
quán bar lịch sử,Historic bar
ngũ siêu,five supers
kỳ nghỉ,vacation
cuộc sống làng quê,village life
đồ ăn không gian nhân viên,staff space food
massage lưng,back massage
thuyền,boat
địa ngục,hell
nội thất,interior
tran,tran
trẻ em,children
găng,gloves
bồn ngâm chân,foot bath
món súp khoai tây,potato soup
tour,tour
quầy,the counter
nhà hàng bẫy du,tourist trap restaurant
ngôi chùa phật giáo,Buddhist temple
đêm,night
bộ vest công sở,office suit
trải nghiệm tham quan,sightseeing experience
cổng trời,sky Gate
tràng pháo,artillery
chuyến tham quan đồi núi,hill tour
hồ chí min,Ho Chi Minh
quản gia,Butler
họ đến,they come
bữa địa phương,local meal
món việt,Vietnamese dishes
phòng chờ,waiting room
đơn hàng,order
lao động,labor
bàn đồ,map table
hành sơn núi khỉ,monkey mountain
đồ nội thất đồ thủ công,Handcrafted furniture
đi bộ xuyên rừng,walk through the forest
lốp gai,spiked tire
cửa hàng thật,real store
lịch sử thế,such history
đồ ăn thì,food is
áo phao,life jacket
to hai,to hai
banh,banh
đồ ăn tour,tour food
thảm họa,disaster
lớp học,class
phương pháp trị liệu,treatment method
bia rượu sake,sake beer
món cơm chiên,fried rice dish
bia vỡ,broken beer
lượng,quantity
cầu rồng,Dragon Bridge
cấu,structure
mát-xa,Massage
phòng,room
giao hàng,delivery
vải cotton,cotton
dịch vụ người,People service
món đặc sản,DAC San
bán hàng -,sell -
chỗ nghỉ,accommodation
nhạc sống,live music
chim -,chim -
long coffee,long coffee
người pha chế,bartender
cẩm thạch,Jade
hàng bán lẻ,retail goods
phong độ,form
lịch trình,schedule
ví vải,fabric wallet
bộ sửa,repair kit
bia lạnh -,Cold beer -
tiệm may bé li,baby li tailor shop
gần cầu,near the bridge
tay nghề,workmanship
thác nước,waterfall
món khoai tây chiên phô mai ớt,chili cheese fries
đồ bơi tùy,Swimwear depends
chuyến tham quan ẩm thực đường phố,Street food tour
địa điểm ăn uống địa phương,local eating places
hàng thực phẩm,food products
bờ sông,River bank
món ăn đường phố,Street food
kỳ nghỉ - trang trí,holiday - decoration
hộp,box
đồ gỗ,wooden
chuyến tham quan tư nhân,private tour
chai bia,beer
vị phật nữ đồ sộ,massive female Buddha
ngọn,top
chiếc chai,bottle
ngọn núi - dân tộc,mountain - nation
xưởng thêu,embroidery workshop
cánh,wing
địa điểm du,travel location
nhân viên mát xa,masseuse
di sản thế,such heritage
thú vui ẩm thực,culinary pleasures
chuyến thăm bờ,shore visit
chuyến tham quan thác nước,waterfall tour
đại lý,agency
túp lều,Hut
khu nghỉ dưỡng làng tre,bamboo village resort
bảo tàng chiến tranh,war museum
bẫy du lịch,tourist trap
tour du lịch ẩm thực địa phương,Local food tour
đường cao,high road
hướng dẫn vũ,dance instructions
không gian điều trị,treatment space
thái độ,attitude
xe lăn đến chùa,wheelchair to the temple
kỹ thuật cắt may,tailoring techniques
giọng nói,voice
cửa hàng thiết kế,design store
giá trị đồng tiền,value of money
dịch vụ cắt may qua đêm,Overnight tailoring service
vật liệu chất lượng,quality materials
chất lượng,quality
cho bữa,for meals
chèo thuyền,rowing
chợ nổi cái,floating market
ăn uống ngồi ăn uống ngoài,eating and drinking outside
đồn điền,plantation
bồn nước nóng,hot tub
hàng trang sức lạc,peanut jewelry
khiển xe,drive the car
nhà trị liệu,therapist
hàng lịch sự,polite goods
may pham ly,may pham ly
nhà bếp,kitchen
sự kiện,event
nhà may be li,beli tailor
chùa linh phương,Linh Phuong Pagoda
hở bụng,belly exposed
cơ,muscle
quản lý giao thông,traffic management
nhà hàng địa phương,local restaurant
cà phê,coffee
view núi,mountain view
chuyến tham quan núi đá cẩm,Marble mountain tour
cà phê dừa,coconut coffee
văn hóa câu chuyện,story culture
cá ngừ,tuna
trải nghiệm tổng thể,overall experience
da ếch chiên,fried frog skin
tầng địa,ground layer
nhà,home
dịch vụ gội,shampoo service
nhà in,printing house
chuyến tham quan mặt trời,sun tour
xi măng,cement
váy áo sơ mi công sở quần tây trang phục,"dresses, shirts, trousers, outfits"
đôi giày da,leather shoes
chỗ,place
sản phẩm chất,quality products
thuộc địa,colony
thăm chùa,visit the temple
lang,lang
ngôi nhà lịch sử,historic house
hàng quà tặng,gift goods
đường may,seam
tay,tay
loài chim,birds
núi khỉ,monkey mountain
giáo viên,teacher
khu phố tàu,Chinatown
cá nhân,individual
áo sơ mi nữ,Women&#39;s shirts
khía cạnh,side
thợ thủ công truyền thống,traditional craftsmen
gia chủ,homeowners
đền thờ nơi,temple place
ngôi nhà truyền,traditional house
gian spa,gian spa
lực massage,lực massage
văn hóa,culture
đi của,go of
chú,uncle
kem của,cream of
kiệt tác kiến,Ant masterpiece
chuyển khoản,transfer
chùa kính,glass temple
tour nhóm,group tour
nhân viên pha chế,bartender
cây cầu vàng,golden bridge
chợ đêm sơn trà,Son Tra night market
chuyến tham quan vịnh,Bay tour
the,the
du,of
nhà nghỉ,guest house
lễ hội âm nhạc,music festival
nhiếp ảnh gia,photographer
cúc áo,button
người dân địa,local people
áo khoác thể thao,sports jacket
đồ giải khát,refresher
gỗ đồ nội thất,wooden furniture
spa,spa
ga đà,station
kỹ năng chụp ảnh,photography skills
ký túc xá,dormitory
cảnh quan,view
đồng lúa,Paddy field
chuyến đi xe máy,motorbike trip
bia trứng,egg beer
chào đông dương,Hello Indochina
tượng phật,Buddha
chuyến tham quan ẩm thực,culinary tour
công viên giải trí,Amusement park
tấm bia tưởng,thought stele
món cá,fish
chùa nước hoa,Perfume Pagoda
khu bảo tồn sinh quyển rừng ngập mặn,mangrove biosphere reserve
quán ăn địa,local restaurant
cây bonsai,bonsai
nhãn hiệu,brand
bít tết phô,cheesesteak
ảo ảnh,illusion
chó,dog
văn hóa ẩm thực,cuisine
canh bạc,gamble
chiếc thuyền máy,motor boat
liệu vải,fabric material
khuyến nghị,Recommendations
thời trang nữ,Women&#39;s Fashion
đối tác,partner
phong cảnh thức ăn,food landscape
tràm chim là,Melaleuca bird is
độ ăn uống,diet
massage đầu,head massage
mạng nhện,spiderweb
chuyến đi xe đạp,bicycle trip
người dân miền núi,mountain people
2 cây,2 trees
sản phẩm thổ cẩm,brocade products
búp bê,doll
tour xuân,spring tour
lúa,paddy
ghế bướm,butterfly chair
dầu,oil
phòng riêng,room
cơ sở vật chất siêu sạch,Super clean facilities
đèo phố,street pass
điểm tham,reference point
bảo tàng đường phố,street museum
cơ sở vật chất,infrastructure
vị vani,vanilla flavor
du lịch - xé,travel - tear
nhân viên mát-xa,masseuse
vườn dứa,pineapple garden
sấy,drying
ngọn núi,mountains
bữa sáng,breakfast
lịch sử quân sự,military history
thư giãn,relax
tòa nhà bao,envelope building
độ bám,grip
khăn,towel
áo sơ mi công,peacock shirt
sóc xe chăm sóc,car care care
quá,too
chuyến du lịch đông bắc,Northeast tour
lớp,class
buổi trình diễn cầu rồng,Dragon Bridge performance
cây gai,flax
lịch sử ẩm thực,culinary history
bộ phụ kiện,accessory set
thùng,bin
hương vị,smell
chai vỡ,broken bottle
bộ vest váy,skirt suit
cây cầu đó,that bridge
thịt cừu,Lamb
bến xe buýt,bus station
bàn tay vàng,Golden hand
khăn ăn,napkin
làng mạc,village
cầu phúc,blessing
massage thái,Thai massage
hang,hang
làng nông thôn,rural village
chuyến đi du lịch,a travel trip
bối cảnh lịch sử,historical background
sự,the
lớp bia,beer class
kiến ​​thức lịch sử,knowledge - - historical knowledge
người dao,knife man
đồ uống ngon âm nhạc,delicious drinks and music
hành lý,luggage
múa,dance
đêm view,night view
nơi ăn uống,eating place
cao lanh,kaolin
ruou gao,Ruou Gao
hàng thực phẩm cửa hàng quà tặng,Food and gift shop
muối,salt
làng matra,matra village
tôn giáo phật giáo,Buddhist religion
áo blazer,blazer
thuyền viên lịch sự,Courteous crew
hàng cà phê,coffee shop
phương tiện giao thông công,public transportation
quầy hàng thực phẩm,Food stalls
tác phẩm nghệ thuật khảm,Mosaic artwork
chuyến tham quan công viên,park tour
thực phẩm giá,food prices
liệu vải thì,fabric material
bát,bowl
phòng trưng bày,exhibition room
khu ẩm thực,food court
liệu pháp mát-xa truyền thống,Traditional massage therapy
khu dân cư,residential area
trái tim,heart
chuyến,trip
bầu không khí ấm,warm atmosphere
bộ đồ ngủ,pajamas
hạng mục,category
con thuyền,boat
thuyền vạn đò,Sampan boat
quầy hàng phi thực phẩm,Non-food stalls
lĩnh,field
trang web nền tảng xã hội,social platform website
tour tham quan địa đạo củ,tour to visit the old tunnels
đồ ăn ngon giá,delicious food at good prices
khu vực,area
du thuyền đông dương,Indochina cruise
dịch vụ khách hàng,customer service
quán bia,beer bar
bức tranh,picture
chuyến tàu đồ chơi,toy train
đường hầm,tunnel
quần vest,vest pants
món ăn việt nam,Vietnamese food
ly trà đá,cup of iced tea
cây cột,column
qua xuân,through spring
áo khoác ấm,warm jacket
quý,precious
chợ đêm an,An night market
lượng thức ăn,food amount
cấu trúc,structure
khoảng sân,yard
người dân làng,villagers
nhà hàng taphin,taphin restaurant
bàn thờ,altar
bảo tàng,museum
món đồ nội,domestic item
khung cảnh,scene
phương thức,method
lời chào,greeting
đồng tiền,coin
thực phẩm đóng,canned food
anh đào,Cherry
linh phước,blessed spirit
day jeep,day jeep
tàu du lịch,cruise ship
bánh mì phở,Pho bread
dịch vụ giá cả,price service
nông dân địa phương trẻ em ẩm thực,Local farmers children&#39;s cuisine
áo mưa,raincoat
tỷ giá hối,exchange rate
công nghệ,technology
núi đá cẩm,marble mountain
lịch sử huế,Hue history
điểm ngắm cảnh,scenic spot
áo tắm,swimsuit
cà phê việt,Vietnamese coffee
thùng nước,bucket
hàng đá liền,row of stones
dưỡng thư giãn,relaxation treatment
khách hàng,client
mì thợ dệt,Weaver noodles
nhà hàng,restaurant
ẩm thực hội an,Hoi An cuisine
thánh địa mỹ sơn,My Son Sanctuary
nghỉ lễ,holiday
khu phố,Town
cho xuân,for spring
chuyến đi cả ngày,full day trip
giá trị giáo dục,educational value
đồ ngủ,sleepwear
đồng cỏ và rừng,grasslands and forests
hướng dẫn viên trí,intellectual guide
dây điện,wire
hàng họ,relatives
phong cảnh lịch sử,historical landscape
massage,massage
phương tiện,vehicle
thuyền thúng,basket boat
bộ váy,dress
thế,position
đỗ xe đạp,bike parking
đồ lưu niệm du lịch,tourist souvenirs
chuyến tham quan hills,hills tour
bánh mì ngon,delicious bread
buổi biểu diễn nấu ăn,cooking demonstration
sứ gốm,ceramic porcelain
hướng dẫn viên địa phương,local tour guide
